tenure_months,monthly_charges,number_of_logins_per_month,number_of_support_tickets,satisfaction_score,last_login_days_ago,subscription_type_premium,subscription_type_standard,contract_type_yearly,usage_frequency_low,usage_frequency_medium,payment_method_Credit Card,payment_method_Digital Wallet,payment_method_PayPal,Churn_Probability,Risk_Level
11,76.56,9,0,4,6,False,True,False,False,True,False,False,True,0.029151747,Low Risk
5,39.0,1,3,3,8,False,False,False,True,False,False,True,False,0.64944315,Medium Risk
18,58.23,5,3,1,50,False,True,True,True,False,False,True,False,0.90644693,High Risk
10,61.43,2,1,3,39,False,True,False,True,False,False,False,True,0.87153834,High Risk
12,95.61,46,1,4,5,True,False,True,False,False,True,False,False,0.01812129,Low Risk
10,26.76,15,0,4,13,False,False,True,False,True,True,False,False,0.011615413,Low Risk
24,27.3,4,1,5,49,False,False,True,True,False,False,True,False,0.026812652,Low Risk
29,23.5,8,0,3,50,False,False,True,True,False,True,False,False,0.34592512,Low Risk
21,70.54,9,0,5,56,False,True,True,True,False,True,False,False,0.040597674,Low Risk
25,21.68,6,11,1,56,False,False,False,True,False,False,False,True,0.9991742,High Risk
35,68.6,9,4,5,19,False,True,False,False,True,False,False,False,0.11679108,Low Risk
11,77.24,33,3,2,4,False,True,True,False,False,True,False,False,0.63810056,Medium Risk
23,53.64,24,1,4,11,False,True,True,False,True,False,False,True,0.0050166994,Low Risk
25,22.64,25,4,3,6,False,False,True,False,False,True,False,False,0.107850395,Low Risk
14,67.63,39,0,3,3,False,True,True,False,False,True,False,False,0.055730425,Low Risk
33,78.72,13,2,3,15,False,True,True,False,True,False,True,False,0.07028809,Low Risk
32,110.44,49,2,2,0,True,False,False,False,False,False,False,True,0.19111301,Low Risk
27,127.89,18,1,5,15,True,False,False,False,True,True,False,False,0.017401582,Low Risk
27,65.13,13,1,3,17,False,True,True,False,True,True,False,False,0.059359662,Low Risk
1,21.62,22,1,5,9,False,False,True,False,True,True,False,False,0.015031308,Low Risk
27,54.5,1,2,3,19,False,True,False,True,False,False,False,True,0.23961137,Low Risk
6,57.8,9,5,3,14,False,True,True,False,True,True,False,False,0.708064,High Risk
18,90.46,12,3,2,8,True,False,True,False,True,False,False,False,0.18507615,Low Risk
1,124.4,23,0,4,2,True,False,False,False,False,False,False,False,0.029949522,Low Risk
13,32.07,21,0,4,9,False,False,True,False,True,False,False,True,0.0064806757,Low Risk
28,54.83,36,0,4,5,False,True,True,False,False,False,False,False,0.0051559773,Low Risk
20,51.94,3,4,3,66,False,True,False,True,False,False,False,True,0.9977424,High Risk
22,74.3,19,5,5,3,False,True,True,False,True,True,False,False,0.018855888,Low Risk
12,66.13,9,5,1,8,False,True,True,True,False,True,False,False,0.9354692,High Risk
11,29.18,11,11,2,27,False,False,False,True,False,True,False,False,0.9988937,High Risk
10,79.26,9,1,4,10,False,True,True,False,True,True,False,False,0.011806381,Low Risk
15,77.51,6,1,4,38,False,True,True,True,False,True,False,False,0.04066625,Low Risk
10,139.97,9,1,5,10,True,False,True,False,True,True,False,False,0.007832087,Low Risk
33,21.0,3,0,4,44,False,False,True,True,False,True,False,False,0.046506025,Low Risk
7,59.26,19,4,4,17,False,True,False,False,True,False,False,False,0.24310614,Low Risk
13,61.64,34,1,3,6,False,True,True,False,False,True,False,False,0.048097927,Low Risk
19,54.73,18,4,2,14,False,True,True,False,True,True,False,False,0.56345254,Medium Risk
34,31.29,11,6,4,8,False,False,False,False,True,True,False,False,0.34484577,Low Risk
3,66.72,22,3,1,12,False,True,False,False,True,True,False,False,0.9236436,High Risk
31,73.2,5,1,4,57,False,True,False,True,False,False,False,True,0.13555674,Low Risk
34,28.69,11,4,5,13,False,False,True,False,True,False,False,True,0.013934349,Low Risk
19,120.23,21,8,1,5,True,False,True,False,False,True,False,False,0.97875,High Risk
23,35.9,5,4,3,38,False,False,True,True,False,True,False,False,0.75662035,High Risk
27,24.15,17,2,5,13,False,False,False,False,True,True,False,False,0.014759348,Low Risk
9,35.86,8,6,2,75,False,False,False,True,False,True,False,False,0.9989837,High Risk
7,38.05,5,8,3,37,False,False,True,True,False,False,False,False,0.9898957,High Risk
14,109.49,13,3,5,10,True,False,False,False,True,True,False,False,0.022937043,Low Risk
12,50.64,13,1,4,6,False,True,True,False,True,True,False,False,0.014367182,Low Risk
31,57.2,11,3,1,34,False,True,True,False,True,False,True,False,0.9898253,High Risk
20,68.19,22,2,3,10,False,True,True,False,True,False,False,False,0.04703527,Low Risk
11,20.4,9,1,2,26,False,False,True,True,False,True,False,False,0.8356359,High Risk
19,110.59,11,2,5,11,True,False,True,False,True,False,False,True,0.0032290234,Low Risk
29,91.82,39,7,5,6,True,False,False,False,False,False,True,False,0.32101548,Low Risk
19,60.42,21,1,4,5,False,True,False,False,True,False,False,True,0.02233705,Low Risk
6,101.55,43,2,4,6,True,False,True,False,False,True,False,False,0.017191188,Low Risk
7,32.89,7,3,4,19,False,False,False,True,False,False,False,True,0.10954581,Low Risk
2,26.28,15,11,1,56,False,False,True,False,True,True,False,False,0.9996605,High Risk
19,131.42,41,2,5,3,True,False,True,False,False,True,False,False,0.0046288283,Low Risk
33,54.96,20,1,3,12,False,True,True,False,True,True,False,False,0.04656426,Low Risk
35,69.4,7,1,4,55,False,True,True,True,False,True,False,False,0.03992693,Low Risk
15,21.69,14,3,3,14,False,False,True,False,True,False,False,False,0.1201561,Low Risk
3,73.31,15,1,3,4,False,True,False,False,True,True,False,False,0.32654417,Low Risk
19,59.31,32,1,4,1,False,True,True,False,False,True,False,False,0.003903831,Low Risk
3,57.25,33,3,4,5,False,True,False,False,False,False,True,False,0.12409235,Low Risk
9,124.29,11,4,4,6,True,False,True,False,True,False,False,False,0.038348842,Low Risk
10,137.4,17,2,3,10,True,False,False,False,True,True,False,False,0.16396129,Low Risk
20,62.45,27,4,4,5,False,True,True,False,False,True,False,False,0.018659359,Low Risk
22,31.4,17,2,5,13,False,False,False,False,True,False,False,False,0.018935183,Low Risk
15,21.28,2,7,3,21,False,False,True,True,False,True,False,False,0.8378147,High Risk
11,35.15,4,3,4,37,False,False,False,True,False,False,True,False,0.38150728,Low Risk
31,39.98,21,2,4,8,False,False,True,False,True,False,False,True,0.0057748617,Low Risk
9,36.71,5,11,3,37,False,False,True,True,False,False,False,True,0.9962649,High Risk
6,73.63,19,0,4,20,False,True,False,False,True,False,False,False,0.0664302,Low Risk
10,93.77,31,3,4,6,True,False,False,False,False,True,False,False,0.060973365,Low Risk
7,33.76,25,0,4,3,False,False,True,False,False,True,False,False,0.018849332,Low Risk
34,39.8,24,10,2,56,False,False,True,False,True,True,False,False,0.9992384,High Risk
14,60.02,14,2,5,4,False,True,True,False,True,False,False,False,0.004838087,Low Risk
9,29.44,13,6,1,19,False,False,False,False,True,True,False,False,0.98202896,High Risk
1,59.99,1,7,2,34,False,True,False,True,False,False,True,False,0.99616724,High Risk
20,107.51,23,1,3,2,True,False,True,False,False,True,False,False,0.033645924,Low Risk
10,65.87,4,2,4,36,False,True,True,True,False,False,False,True,0.12380651,Low Risk
32,61.35,42,2,3,1,False,True,True,False,False,False,False,False,0.07927782,Low Risk
16,107.29,46,2,5,2,True,False,True,False,False,False,False,False,0.0035424177,Low Risk
23,25.78,2,7,4,33,False,False,True,True,False,False,False,True,0.87155837,High Risk
4,20.73,23,0,2,17,False,False,False,False,True,False,False,False,0.89262444,High Risk
12,56.47,20,5,4,10,False,True,True,False,True,False,False,False,0.092221186,Low Risk
2,37.33,2,3,3,38,False,False,False,True,False,False,False,True,0.9441201,High Risk
7,147.43,24,1,5,14,True,False,True,False,True,True,False,False,0.011715828,Low Risk
23,68.91,8,2,5,29,False,True,False,True,False,True,False,False,0.09383366,Low Risk
9,32.25,17,2,2,6,False,False,False,False,True,True,False,False,0.5790046,Medium Risk
22,63.42,15,1,5,16,False,True,True,False,True,True,False,False,0.0059510632,Low Risk
6,75.05,29,3,3,5,False,True,False,False,False,False,False,True,0.48584884,Medium Risk
33,55.6,15,7,3,34,False,True,False,False,True,True,False,False,0.9963905,High Risk
33,20.68,3,3,3,59,False,False,True,True,False,True,False,False,0.6930247,Medium Risk
3,28.64,25,1,3,1,False,False,True,False,False,True,False,False,0.17234024,Low Risk
14,36.43,8,4,5,51,False,False,True,True,False,True,False,False,0.16711387,Low Risk
19,73.26,10,1,4,6,False,True,True,False,True,False,False,False,0.0045690318,Low Risk
1,39.94,49,0,4,6,False,False,False,False,False,False,True,False,0.025234273,Low Risk
24,144.42,36,2,3,1,True,False,False,False,False,False,False,True,0.123852834,Low Risk
7,78.36,10,6,3,9,False,True,False,False,True,True,False,False,0.9212391,High Risk
3,74.26,24,6,2,39,False,True,False,False,True,True,False,False,0.99876547,High Risk
4,28.43,9,7,2,44,False,False,False,True,False,True,False,False,0.9949728,High Risk
16,35.32,37,2,1,1,False,False,True,False,False,False,False,False,0.1721265,Low Risk
20,39.57,1,1,5,57,False,False,True,True,False,True,False,False,0.039207075,Low Risk
3,54.9,23,1,4,0,False,True,True,False,False,True,False,False,0.025335668,Low Risk
14,55.72,12,0,5,3,False,True,True,False,True,True,False,False,0.0051426156,Low Risk
11,78.77,28,2,4,3,False,True,False,False,False,True,False,False,0.036636483,Low Risk
4,36.78,8,11,4,16,False,False,False,True,False,True,False,False,0.9861254,High Risk
22,31.29,14,1,4,19,False,False,True,False,True,True,False,False,0.008177418,Low Risk
28,143.03,46,1,3,4,True,False,True,False,False,False,False,True,0.04331729,Low Risk
8,52.33,9,4,2,78,False,True,True,False,True,False,False,True,0.99949694,High Risk
14,52.63,3,1,4,34,False,True,True,True,False,False,False,False,0.059939206,Low Risk
30,23.58,15,5,1,19,False,False,False,False,True,False,True,False,0.96851313,High Risk
8,69.25,41,3,4,3,False,True,False,False,False,True,False,False,0.07738677,Low Risk
13,123.83,43,4,4,1,True,False,True,False,False,True,False,False,0.021608053,Low Risk
34,39.53,11,4,4,13,False,False,False,True,False,False,False,True,0.079327695,Low Risk
29,117.31,27,2,4,0,True,False,True,False,False,False,True,False,0.0055693807,Low Risk
31,34.37,7,1,3,55,False,False,True,True,False,False,False,True,0.35731897,Low Risk
23,111.89,4,8,4,23,True,False,False,True,False,False,False,False,0.92305833,High Risk
10,52.35,33,5,1,4,False,True,False,False,False,False,False,True,0.97222507,High Risk
6,39.09,8,4,1,35,False,False,True,True,False,True,False,False,0.97701126,High Risk
6,22.39,2,10,2,10,False,False,False,True,False,True,False,False,0.99861085,High Risk
19,69.69,4,1,3,52,False,True,True,True,False,False,False,True,0.36380985,Low Risk
23,22.91,3,11,3,64,False,False,True,True,False,True,False,False,0.9994299,High Risk
5,122.99,39,3,2,86,True,False,False,False,False,True,False,False,0.99985945,High Risk
25,28.92,18,0,3,4,False,False,False,False,True,True,False,False,0.09359579,Low Risk
29,24.92,6,0,1,77,False,False,True,True,False,False,False,True,0.99616003,High Risk
31,140.68,8,4,4,42,True,False,False,True,False,False,True,False,0.28092194,Low Risk
27,20.86,24,1,3,13,False,False,False,False,True,True,False,False,0.19388202,Low Risk
30,36.0,20,1,5,13,False,False,False,False,True,False,False,True,0.013587147,Low Risk
26,70.01,47,8,3,82,False,True,False,False,False,True,False,False,0.9998604,High Risk
29,76.65,12,4,5,14,False,True,False,False,True,True,False,False,0.13716093,Low Risk
5,38.66,23,2,5,13,False,False,False,False,True,True,False,False,0.02553389,Low Risk
32,149.01,12,1,3,4,True,False,True,False,True,False,False,True,0.039653663,Low Risk
32,22.4,10,7,3,88,False,False,False,False,True,False,False,False,0.9996574,High Risk
11,36.24,3,7,3,40,False,False,False,True,False,False,False,False,0.9822503,High Risk
26,30.27,37,0,4,3,False,False,True,False,False,False,False,False,0.004312394,Low Risk
28,51.06,15,1,2,7,False,True,True,False,True,False,False,False,0.14594129,Low Risk
10,52.03,12,4,2,58,False,True,True,False,True,False,False,True,0.99405247,High Risk
15,39.05,11,0,3,14,False,False,True,False,True,False,False,True,0.05928963,Low Risk
34,72.84,21,1,4,6,False,True,True,False,True,True,False,False,0.0051869834,Low Risk
23,53.62,40,2,3,0,False,True,True,False,False,False,False,True,0.053553026,Low Risk
4,36.57,12,7,1,56,False,False,False,False,True,True,False,False,0.99920195,High Risk
7,37.37,9,0,4,5,False,False,False,False,True,True,False,False,0.030150644,Low Risk
19,67.55,3,3,4,24,False,True,False,True,False,True,False,False,0.14711033,Low Risk
27,25.88,20,2,5,5,False,False,True,False,False,False,False,False,0.0034988967,Low Risk
31,139.1,10,2,5,41,True,False,True,True,False,False,False,True,0.026376951,Low Risk
3,30.34,8,5,5,34,False,False,False,True,False,False,False,True,0.9148852,High Risk
35,51.47,19,1,2,8,False,True,True,False,True,False,False,True,0.16464151,Low Risk
4,132.73,41,11,2,3,True,False,False,False,False,True,False,False,0.9949274,High Risk
25,21.49,15,4,4,4,False,False,False,False,True,False,False,True,0.09697121,Low Risk
24,39.34,7,3,4,21,False,False,True,True,False,False,False,False,0.032241978,Low Risk
9,28.7,24,10,1,34,False,False,True,False,True,False,False,True,0.99964917,High Risk
14,29.62,7,4,3,27,False,False,True,True,False,False,True,False,0.6706589,Medium Risk
10,29.15,2,3,4,23,False,False,False,True,False,False,True,False,0.14827521,Low Risk
1,97.23,13,1,2,68,True,False,True,False,True,False,True,False,0.9991124,High Risk
25,20.93,18,0,3,6,False,False,True,False,True,True,False,False,0.0656478,Low Risk
8,62.18,1,4,3,67,False,True,True,True,False,True,False,False,0.9957001,High Risk
6,25.59,24,4,2,66,False,False,False,False,False,True,False,False,0.9997408,High Risk
30,23.62,9,2,3,13,False,False,True,False,True,False,False,True,0.04521516,Low Risk
21,58.2,21,2,5,14,False,True,True,False,True,True,False,False,0.0073432573,Low Risk
8,33.74,4,2,3,13,False,False,True,True,False,False,False,False,0.25419444,Low Risk
9,23.64,20,1,3,71,False,False,False,False,True,False,False,False,0.999483,High Risk
4,74.53,18,5,1,8,False,True,False,False,True,False,True,False,0.9795211,High Risk
16,22.25,45,4,5,5,False,False,False,False,False,False,False,True,0.07984104,Low Risk
24,35.56,24,1,3,5,False,False,True,False,True,False,False,True,0.03721735,Low Risk
17,20.55,20,1,5,16,False,False,True,False,True,True,False,False,0.004491944,Low Risk
29,59.06,22,2,3,14,False,True,False,False,True,True,False,False,0.32131532,Low Risk
30,30.58,11,3,2,41,False,False,False,True,False,True,False,False,0.9696436,High Risk
34,53.11,38,3,4,0,False,True,True,False,False,True,False,False,0.017835269,Low Risk
21,25.03,5,2,1,27,False,False,True,True,False,False,False,True,0.78832656,High Risk
5,32.54,24,0,5,87,False,False,False,False,False,False,False,False,0.9997328,High Risk
11,55.07,16,2,1,19,False,True,True,False,True,False,True,False,0.7611053,High Risk
3,29.59,34,4,5,2,False,False,True,False,False,True,False,False,0.08892984,Low Risk
35,56.73,10,3,1,15,False,True,False,False,True,False,False,True,0.84977823,High Risk
6,68.62,35,0,5,3,False,True,False,False,False,False,False,True,0.029923297,Low Risk
27,79.29,29,2,2,0,False,True,False,False,False,False,False,False,0.25286472,Low Risk
22,33.79,7,1,1,44,False,False,True,True,False,True,False,False,0.80261034,High Risk
15,39.24,39,1,5,4,False,False,True,False,False,False,False,True,0.004726074,Low Risk
34,118.31,45,2,4,4,True,False,False,False,False,False,False,False,0.028039757,Low Risk
9,35.68,5,7,4,23,False,False,False,True,False,False,False,True,0.88611126,High Risk
1,77.27,8,3,3,42,False,True,False,False,True,True,False,False,0.99332535,High Risk
30,118.85,8,4,5,12,True,False,True,False,True,False,False,False,0.0074844947,Low Risk
33,22.51,6,1,2,17,False,False,True,True,False,True,False,False,0.3528944,Low Risk
28,136.95,3,2,1,12,True,False,True,True,False,False,False,True,0.21179385,Low Risk
9,36.81,23,3,4,5,False,False,True,False,True,True,False,False,0.04383775,Low Risk
28,35.5,8,4,4,50,False,False,True,True,False,True,False,False,0.12487817,Low Risk
14,76.79,9,2,4,50,False,True,True,True,False,True,False,False,0.031692576,Low Risk
4,25.52,24,1,3,20,False,False,False,False,True,True,False,False,0.39091283,Low Risk
25,100.5,44,3,5,2,True,False,True,False,False,False,True,False,0.0075522396,Low Risk
3,79.24,12,2,5,16,False,True,False,False,True,False,False,False,0.0535375,Low Risk
20,20.2,8,9,2,52,False,False,False,True,False,False,True,False,0.9949714,High Risk
17,25.78,17,2,4,17,False,False,False,False,True,True,False,False,0.0371066,Low Risk
19,109.04,46,2,4,4,True,False,True,False,False,False,False,True,0.0045795296,Low Risk
33,50.94,10,2,2,44,False,True,True,True,False,False,False,False,0.75704557,High Risk
26,53.4,15,3,3,11,False,True,True,False,True,False,False,True,0.08201863,Low Risk
30,54.61,10,2,3,13,False,True,True,False,True,False,False,True,0.033892762,Low Risk
4,114.76,16,5,3,16,True,False,False,False,True,True,False,False,0.8791206,High Risk
31,74.42,15,8,5,75,False,True,False,False,True,True,False,False,0.9995086,High Risk
28,25.37,1,4,2,55,False,False,True,True,False,True,False,False,0.9202808,High Risk
2,59.67,26,1,5,0,False,True,False,False,False,True,False,False,0.026719157,Low Risk
15,54.23,20,1,5,8,False,True,True,False,True,True,False,False,0.0043966006,Low Risk
12,70.64,14,8,1,69,False,True,True,False,True,True,False,False,0.999838,High Risk
26,92.83,11,1,1,69,True,False,True,False,True,False,False,True,0.9986808,High Risk
7,68.22,13,3,4,20,False,True,True,False,True,False,False,False,0.0774669,Low Risk
25,38.22,18,2,3,16,False,False,True,False,True,False,False,True,0.057990354,Low Risk
21,71.77,23,0,1,1,False,True,True,False,False,True,False,False,0.17800169,Low Risk
32,24.01,15,5,4,6,False,False,True,False,True,False,False,True,0.028812887,Low Risk
30,37.04,24,0,1,4,False,False,False,False,False,True,False,False,0.30482253,Low Risk
34,63.56,18,1,3,13,False,True,True,False,True,False,False,False,0.036698103,Low Risk
34,148.77,37,0,5,3,True,False,False,False,False,True,False,False,0.015811682,Low Risk
24,21.24,11,4,5,54,False,False,True,True,False,True,False,False,0.15914579,Low Risk
11,93.16,46,10,2,43,True,False,True,False,False,True,False,False,0.9995258,High Risk
1,28.53,10,11,1,61,False,False,False,True,False,False,False,True,0.9997863,High Risk
